seqnames,description,sample,counts,reads
NG_048125.1,"Streptococcus salivarius FStet12 tet(32) gene for tetracycline resistance ribosomal protection protein Tet(32), complete CDS",05-2-A5D25,1,25645472
NG_048180.1,"uncultured bacterium tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",05-2-A5D25,5,25645472
NG_050218.1,"Escherichia sp. Sflu5 pAK51 blaTEM gene for class A beta-lactamase TEM-181, complete CDS",05-2-A5D25,3,25645472
NG_047966.1,"Gemella haemolysans mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",05-2-A5D25,1,25645472
NG_050170.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-126, complete CDS",05-2-A5D25,1,25645472
NG_050182.1,"Salmonella enterica pCN2310 blaTEM gene for class A extended-spectrum beta-lactamase TEM-138, complete CDS",05-2-A5D25,1,25645472
NG_048293.1,"uncultured bacterium tet(W) gene for tetracycline resistance ribosomal protection protein Tet(W), complete CDS",05-2-A5D25,1,25645472
NG_050201.1,"Enterobacter cloacae pEC005 blaTEM gene for class A extended-spectrum beta-lactamase TEM-157, complete CDS",05-2-A5D25,3,25645472
NG_048181.1,"Escherichia coli SE11 pSE11-1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",05-2-A5D25,3,25645472
NG_047438.1,"Proteus mirabilis R772 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",05-2-A5D25,1,25645472
NG_047827.1,"Lysinibacillus sphaericus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",05-2-A5D25,1,25645472
NG_050259.1,"Klebsiella pneumoniae CF104 pCFF04 blaTEM gene for class A extended-spectrum beta-lactamase TEM-3, complete CDS",05-2-A5D25,1,25645472
NG_047829.1,"Bacteroides ovatus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",05-2-A5D25,1,25645472
NG_050192.1,"[Enterobacter] aerogenes blaTEM gene for class A extended-spectrum beta-lactamase TEM-149, complete CDS",05-2-A5D25,1,25645472
NG_050187.1,"Salmonella enterica subsp. enterica serovar Derby str. D1 blaTEM gene for class A extended-spectrum beta-lactamase TEM-144, complete CDS",05-2-A5D25,1,25645472
NG_048175.1,"Salmonella enterica subsp. enterica serovar Typhimurium R46 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",05-2-A5D25,3,25645472
NG_050251.1,"Escherichia coli EV25 blaTEM gene for class A beta-lactamase TEM-219, complete CDS",05-2-A5D25,5,25645472
NG_050291.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-81, complete CDS",05-2-A5D25,1,25645472
NG_048177.1,"Aeromonas salmonicida pRAS3.2 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",05-2-A5D25,4,25645472
NG_050299.1,"Escherichia coli 7604 pMG204b blaTEM gene for class A broad-spectrum beta-lactamase TEM-90, complete CDS",05-2-A5D25,1,25645472
NG_050298.1,"Klebsiella pneumoniae K28 pMG272 blaTEM gene for class A extended-spectrum beta-lactamase TEM-88, complete CDS",05-2-A5D25,1,25645472
NG_050206.1,"Acinetobacter haemolyticus pUPI191 blaTEM gene for class A beta-lactamase TEM-162, complete CDS",05-2-A5D25,3,25645472
NG_050258.1,"Pseudomonas aeruginosa pPA3-104 blaTEM gene for class A extended-spectrum beta-lactamase TEM-29, complete CDS",05-2-A5D25,2,25645472
NG_056416.1,"Acinetobacter haemolyticus AN3 blaTEM gene for class A beta-lactamase TEM-229, complete CDS",05-2-A5D25,3,25645472
NG_056168.1,"Escherichia coli ECO0584 blaTEM gene for class A extended-spectrum beta-lactamase TEM-9, complete CDS",05-2-A5D25,1,25645472
NG_050166.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-122, complete CDS",05-2-A5D25,1,25645472
NG_047430.1,"Escherichia coli aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",05-2-A5D25,1,25645472
NG_050183.1,"Klebsiella pneumoniae conjugative plasmid blaTEM gene for class A extended-spectrum beta-lactamase TEM-139, complete CDS",05-2-A5D25,1,25645472
NG_050248.1,"Escherichia coli 872597 blaTEM gene for class A beta-lactamase TEM-215, complete CDS",05-2-A5D25,2,25645472
NG_047970.1,"Clostridium kluyveri DSM 555 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",05-2-A5D25,3,25645472
NG_048005.1,"Streptococcus pneumoniae MF4 msr(D) gene for ABC-F type ribosomal protection protein Msr(D), complete CDS",05-2-A5D25,2,25645472
NG_050211.1,"Escherichia coli N08-1503 blaTEM gene for class A extended-spectrum beta-lactamase TEM-168, complete CDS",05-2-A5D25,1,25645472
NG_050197.1,"Escherichia coli C467 blaTEM gene for class A extended-spectrum beta-lactamase TEM-153, complete CDS",05-2-A5D25,1,25645472
NG_048174.1,"Francisella tularensis LVS pOM1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",05-2-A5D25,2,25645472
NG_048262.1,"Enterococcus faecalis e27 tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",05-2-A5D25,1,25645472
NG_047961.1,"Streptococcus sp. 'group G' 02M157741 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",05-2-A5D25,1,25645472
NG_050228.1,"Escherichia coli bMX-908599 blaTEM gene for class A beta-lactamase TEM-190, complete CDS",05-2-A5D25,1,25645472
NG_050268.1,"Escherichia coli clinical blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-45, complete CDS",05-2-A5D25,1,25645472
NG_050289.1,"Klebsiella pneumoniae CF 704 blaTEM gene for class A extended-spectrum beta-lactamase TEM-8, complete CDS",05-2-A5D25,1,25645472
NG_050272.1,"Klebsiella pneumoniae blaTEM gene for class A extended-spectrum beta-lactamase TEM-52, complete CDS",05-2-A5D25,2,25645472
NG_050195.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-151, complete CDS",05-2-A5D25,1,25645472
NG_050257.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-28, complete CDS",05-2-A5D25,2,25645472
NG_050274.1,"Escherichia coli BM2728 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-54, complete CDS",05-2-A5D25,2,25645472
NG_050155.1,"Proteus mirabilis 217C5 blaTEM gene for class A extended-spectrum beta-lactamase TEM-11, complete CDS",05-2-A5D25,1,25645472
NG_050162.1,"Staphylococcus aureus pJ3356::POX7 blaTEM gene for class A broad-spectrum beta-lactamase TEM-116, complete CDS",05-2-A5D25,4,25645472
NG_050281.1,"Klebsiella pneumoniae CLSiS 3151/98 pbla-TEM-68 blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-68, complete CDS",05-2-A5D25,1,25645472
NG_050290.1,"Enterobacter cloacae blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-80, complete CDS",05-2-A5D25,1,25645472
NG_048006.1,"Streptococcus pneumoniae GA3488 msr(D) gene for ABC-F type ribosomal protection protein Msr(D), complete CDS",05-2-A5D25,2,25645472
NG_050260.1,"Escherichia coli pINSRA99 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-30, complete CDS",05-2-A5D25,2,25645472
NG_050235.2,"Escherichia coli 2006-01-1248 blaTEM gene for class A extended-spectrum beta-lactamase TEM-20, complete CDS",05-2-A5D25,2,25645472
NG_050227.1,"Acinetobacter baumannii NIPH 2884 blaTEM gene for class A extended-spectrum beta-lactamase TEM-19, complete CDS",05-2-A5D25,1,25645472
NG_050173.1,"Klebsiella oxytoca blaTEM gene for class A extended-spectrum beta-lactamase TEM-129, complete CDS",05-2-A5D25,1,25645472
NG_050302.1,"Escherichia coli CLSiS 3445/98 pblaTEM-93 blaTEM gene for class A extended-spectrum beta-lactamase TEM-93, complete CDS",05-2-A5D25,1,25645472
NG_050184.1,"Enterobacter cloacae EC002 blaTEM gene for class A broad-spectrum beta-lactamase TEM-141, complete CDS",05-2-A5D25,2,25645472
NG_050294.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-84, complete CDS",05-2-A5D25,1,25645472
NG_050188.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-145, complete CDS",05-2-A5D25,1,25645472
NG_050147.1,"Escherichia coli pBP311 blaTEM gene for class A extended-spectrum beta-lactamase TEM-101, complete CDS",05-2-A5D25,1,25645472
NG_047828.1,"Bacteroides thetaiotaomicron 7853 erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",05-2-A5D25,1,25645472
NG_050199.1,"Proteus mirabilis blaTEM gene for class A extended-spectrum beta-lactamase TEM-155, complete CDS",05-2-A5D25,1,25645472
NG_050262.1,"Escherichia coli B24 pEC_B24 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-33, complete CDS",05-2-A5D25,1,25645472
NG_050205.1,"Proteus mirabilis blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-160, complete CDS",05-2-A5D25,1,25645472
NG_052651.1,"Escherichia coli 13-62 blaTEM gene for class A beta-lactamase TEM-225, complete CDS",05-2-A5D25,1,25645472
NG_048178.1,"Chlamydia suis R27 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",05-2-A5D25,2,25645472
NG_047437.1,"Escherichia coli aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",05-2-A5D25,1,25645472
NG_050292.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-82, complete CDS",05-2-A5D25,1,25645472
NG_048140.1,"uncultured bacterium tet(40) gene for tetracycline efflux MFS transporter Tet(40), complete CDS",05-2-A5D25,1,25645472
NG_047973.1,"Streptococcus pyogenes MB56Spyo005 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",05-2-A5D25,1,25645472
NG_050306.1,"Escherichia coli blaTEM gene for class A beta-lactamase TEM-97, complete CDS",05-2-A5D25,1,25645472
NG_050145.1,"Escherichia coli pC15-1a blaTEM gene for class A broad-spectrum beta-lactamase TEM-1, complete CDS",05-2-A5D25,1,25645472
NG_050282.1,"Escherichia coli SM91 blaTEM gene for class A beta-lactamase TEM-70, complete CDS",05-2-A5D25,1,25645472
NG_050297.1,"Proteus mirabilis pPm87 blaTEM gene for class A extended-spectrum beta-lactamase TEM-87, complete CDS",05-2-A5D25,2,25645472
NG_047439.1,"Avibacterium paragallinarum A14 pYMH5 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",05-2-A5D25,1,25645472
NG_047967.1,"Streptococcus mitis mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",05-2-A5D25,1,25645472
NG_050273.1,"Klebsiella pneumoniae BM2733 blaTEM gene for class A extended-spectrum beta-lactamase TEM-53, complete CDS",05-2-A5D25,1,25645472
NG_050256.1,"Enterobacter sp. GN02186 blaTEM gene for class A extended-spectrum beta-lactamase TEM-26, complete CDS",05-2-A5D25,1,25645472
NG_050250.1,"Enterobacter cloacae ST137 blaTEM gene for class A beta-lactamase TEM-217, complete CDS",05-2-A5D25,1,25645472
NG_048270.1,"Prevotella ruminicola 223 tet(Q) gene for tetracycline resistance ribosomal protection protein Tet(Q), complete CDS",05-2-A5D25,1,25645472
NG_048364.1,"Enterococcus gallinarum N04-0414 vanD gene for D-alanine--(R)-lactate ligase VanD, complete CDS",06-25-A6D20,1,25636657
NG_047378.1,"Pediococcus acidilactici NCIMB 6990 pEOC01 aadE gene for aminoglycoside 6-adenylyltransferase AadE, complete CDS",06-25-A6D20,11,25636657
NG_047435.1,"Salmonella enterica subsp. enterica serovar Typhimurium NTP16 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",06-25-A6D20,2,25636657
NG_047970.1,"Clostridium kluyveri DSM 555 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",06-25-A6D20,1,25636657
NG_048006.1,"Streptococcus pneumoniae GA3488 msr(D) gene for ABC-F type ribosomal protection protein Msr(D), complete CDS",06-25-A6D20,3,25636657
NG_047973.1,"Streptococcus pyogenes MB56Spyo005 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",06-25-A6D20,2,25636657
NG_048179.1,"Escherichia coli invasion plasmid pIS2 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",06-25-A6D20,1,25636657
NG_048180.1,"uncultured bacterium tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",06-25-A6D20,3,25636657
NG_050154.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-109, complete CDS",06-25-A6D20,2,25636657
NG_047439.1,"Avibacterium paragallinarum A14 pYMH5 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",06-25-A6D20,1,25636657
NG_048264.1,"Actinobacillus pleuropneumoniae 13142 p13142 tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",06-25-A6D20,2,25636657
NG_050170.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-126, complete CDS",06-25-A6D20,1,25636657
NG_052865.1,"Acinetobacter baumannii 1233161 blaTEM gene for class A beta-lactamase TEM-191, complete CDS",06-25-A6D20,2,25636657
NG_050293.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-83, complete CDS",06-25-A6D20,1,25636657
NG_048267.1,"Streptococcus suis YM12 tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",06-25-A6D20,6,25636657
NG_048262.1,"Enterococcus faecalis e27 tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",06-25-A6D20,2,25636657
NG_050206.1,"Acinetobacter haemolyticus pUPI191 blaTEM gene for class A beta-lactamase TEM-162, complete CDS",06-25-A6D20,2,25636657
NG_050224.1,"Proteus mirabilis 7001324 unnamed blaTEM gene for class A extended-spectrum beta-lactamase TEM-187, complete CDS",06-25-A6D20,4,25636657
NG_050178.1,"Citrobacter koseri blaTEM gene for class A extended-spectrum beta-lactamase TEM-134, complete CDS",06-25-A6D20,1,25636657
NG_050198.1,"Escherichia coli H258 blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-154, complete CDS",06-25-A6D20,1,25636657
NG_050286.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-77, complete CDS",06-25-A6D20,1,25636657
NG_050190.1,"Pseudomonas aeruginosa pPA4-141 blaTEM gene for class A extended-spectrum beta-lactamase TEM-147, complete CDS",06-25-A6D20,1,25636657
NG_050262.1,"Escherichia coli B24 pEC_B24 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-33, complete CDS",06-25-A6D20,1,25636657
NG_050259.1,"Klebsiella pneumoniae CF104 pCFF04 blaTEM gene for class A extended-spectrum beta-lactamase TEM-3, complete CDS",06-25-A6D20,1,25636657
NG_048058.1,"Serratia marcescens S-95 rmtB gene for 16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1, complete CDS",06-25-A6D20,3,25636657
NG_050208.1,"Klebsiella pneumoniae pML1708 blaTEM gene for class A extended-spectrum beta-lactamase TEM-164, complete CDS",06-25-A6D20,1,25636657
NG_050249.1,"Escherichia coli blaTEM gene for class A beta-lactamase TEM-216, complete CDS",06-25-A6D20,1,25636657
NG_050153.1,"Salmonella enterica subsp. enterica serovar Typhimurium DT193 blaTEM gene for class A beta-lactamase TEM-108, complete CDS",06-25-A6D20,2,25636657
NG_050179.1,"Salmonella enterica subsp. enterica serovar Typhimurium pFPTB1 blaTEM gene for class A broad-spectrum beta-lactamase TEM-135, complete CDS",06-25-A6D20,1,25636657
NG_048266.1,"Streptococcus suis BM407 tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",06-25-A6D20,2,25636657
NG_050210.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-167, complete CDS",06-25-A6D20,1,25636657
NG_050272.1,"Klebsiella pneumoniae blaTEM gene for class A extended-spectrum beta-lactamase TEM-52, complete CDS",06-25-A6D20,1,25636657
NG_050218.1,"Escherichia sp. Sflu5 pAK51 blaTEM gene for class A beta-lactamase TEM-181, complete CDS",06-25-A6D20,2,25636657
NG_050247.1,"Escherichia coli 866330 blaTEM gene for class A beta-lactamase TEM-214, complete CDS",06-25-A6D20,1,25636657
NG_047437.1,"Escherichia coli aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",06-25-A6D20,1,25636657
NG_050240.1,"Escherichia coli 3805 blaTEM gene for class A beta-lactamase TEM-208, complete CDS",06-25-A6D20,1,25636657
NG_050151.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-106, complete CDS",06-25-A6D20,1,25636657
NG_050200.1,"Proteus mirabilis blaTEM gene for class A beta-lactamase TEM-156, complete CDS",06-25-A6D20,1,25636657
NG_050150.1,"Escherichia coli blaTEM gene for class A beta-lactamase TEM-105, complete CDS",06-25-A6D20,3,25636657
NG_050265.1,"Klebsiella pneumoniae H67 pRYC11 blaTEM gene for class A extended-spectrum beta-lactamase TEM-4, complete CDS",06-25-A6D20,1,25636657
NG_050171.1,"Escherichia coli unnamed blaTEM gene for class A broad-spectrum beta-lactamase TEM-127, complete CDS",06-25-A6D20,1,25636657
NG_050199.1,"Proteus mirabilis blaTEM gene for class A extended-spectrum beta-lactamase TEM-155, complete CDS",06-25-A6D20,1,25636657
NG_050164.1,"Klebsiella oxytoca blaTEM gene for class A extended-spectrum beta-lactamase TEM-120, complete CDS",06-25-A6D20,1,25636657
NG_050207.1,"Escherichia coli 3343 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-163, complete CDS",06-25-A6D20,1,25636657
NG_050299.1,"Escherichia coli 7604 pMG204b blaTEM gene for class A broad-spectrum beta-lactamase TEM-90, complete CDS",06-25-A6D20,1,25636657
NG_050214.1,"Escherichia coli pAm08CQ6130 blaTEM gene for class A beta-lactamase TEM-171, complete CDS",06-25-A6D20,1,25636657
NG_050162.1,"Staphylococcus aureus pJ3356::POX7 blaTEM gene for class A broad-spectrum beta-lactamase TEM-116, complete CDS",06-25-A6D20,3,25636657
NG_050235.2,"Escherichia coli 2006-01-1248 blaTEM gene for class A extended-spectrum beta-lactamase TEM-20, complete CDS",06-25-A6D20,1,25636657
NG_050194.1,"Escherichia coli blaTEM gene for class A beta-lactamase TEM-150, complete CDS",06-25-A6D20,2,25636657
NG_050229.1,"Acinetobacter baumannii 197 blaTEM gene for class A beta-lactamase TEM-193, complete CDS",06-25-A6D20,1,25636657
NG_048258.1,"Megasphaera elsdenii Fern tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",06-25-A6D20,1,25636657
NG_050173.1,"Klebsiella oxytoca blaTEM gene for class A extended-spectrum beta-lactamase TEM-129, complete CDS",06-25-A6D20,1,25636657
NG_050193.1,"Haemophilus parainfluenzae pSF2 blaTEM gene for class A extended-spectrum beta-lactamase TEM-15, complete CDS",06-25-A6D20,1,25636657
NG_050232.1,"Klebsiella pneumoniae FSP 286/05 blaTEM gene for class A extended-spectrum beta-lactamase TEM-197, complete CDS",06-25-A6D20,1,25636657
NG_050227.1,"Acinetobacter baumannii NIPH 2884 blaTEM gene for class A extended-spectrum beta-lactamase TEM-19, complete CDS",06-25-A6D20,1,25636657
NG_050233.1,"Klebsiella pneumoniae KUN5033 blaTEM gene for class A beta-lactamase TEM-198, complete CDS",06-25-A6D20,1,25636657
NG_050261.1,"Shigella sonnei 144375 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-32, complete CDS",06-25-A6D20,1,25636657
NG_048140.1,"uncultured bacterium tet(40) gene for tetracycline efflux MFS transporter Tet(40), complete CDS",06-25-A6D20,1,25636657
NG_048181.1,"Escherichia coli SE11 pSE11-1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",06-25-A6D20,2,25636657
NG_050197.1,"Escherichia coli C467 blaTEM gene for class A extended-spectrum beta-lactamase TEM-153, complete CDS",06-25-A6D20,2,25636657
NG_050251.1,"Escherichia coli EV25 blaTEM gene for class A beta-lactamase TEM-219, complete CDS",06-25-A6D20,1,25636657
NG_047432.1,"Plasmid pFA6 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",06-25-A6D20,1,25636657
NG_050236.1,"Escherichia coli WDR-13 unnamed blaTEM gene for class A beta-lactamase TEM-201, complete CDS",06-25-A6D20,1,25636657
NG_048265.1,"Streptococcus pneumoniae tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",06-25-A6D20,1,25636657
NG_047827.1,"Lysinibacillus sphaericus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",06-25-A6D20,1,25636657
NG_050234.1,"Pseudomonas aeruginosa blaTEM gene for class A broad-spectrum beta-lactamase TEM-2, complete CDS",06-25-A6D20,1,25636657
NG_048177.1,"Aeromonas salmonicida pRAS3.2 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",06-25-A6D20,1,25636657
NG_050169.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-125, complete CDS",06-25-A6D20,1,25636657
NG_048139.1,"Clostridiaceae bacterium K10 tet(40) gene for tetracycline efflux MFS transporter Tet(40), complete CDS",06-25-A6D20,1,25636657
NG_048178.1,"Chlamydia suis R27 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",06-25-A6D20,1,25636657
NG_056168.1,"Escherichia coli ECO0584 blaTEM gene for class A extended-spectrum beta-lactamase TEM-9, complete CDS",06-25-A6D20,1,25636657
NG_050238.1,"Escherichia coli S2.2-EK pEC-S2.2 blaTEM gene for class A broad-spectrum beta-lactamase TEM-206, complete CDS",06-25-A6D20,1,25636657
NG_048261.1,"Streptococcus pyogenes tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",06-25-A6D20,1,25636657
NG_048254.1,"Streptococcus mutans tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",06-25-A6D20,1,25636657
NG_048174.1,"Francisella tularensis LVS pOM1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",06-25-A6D20,1,25636657
NG_047970.1,"Clostridium kluyveri DSM 555 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",07-12-C7D29,6,22779397
NG_047829.1,"Bacteroides ovatus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",07-12-C7D29,1,22779397
NG_048268.1,"Bacteroides thetaiotaomicron DOT tet(Q) gene for tetracycline resistance ribosomal protection protein Tet(Q), complete CDS",07-12-C7D29,2,22779397
NG_050206.1,"Acinetobacter haemolyticus pUPI191 blaTEM gene for class A beta-lactamase TEM-162, complete CDS",07-12-C7D29,1,22779397
NG_048493.1,"Enterococcus faecium A902 vanX-D gene for D-Ala-D-Ala dipeptidase VanX-D, complete CDS",07-12-C7D29,1,22779397
NG_048006.1,"Streptococcus pneumoniae GA3488 msr(D) gene for ABC-F type ribosomal protection protein Msr(D), complete CDS",07-12-C7D29,4,22779397
NG_050261.1,"Shigella sonnei 144375 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-32, complete CDS",07-12-C7D29,1,22779397
NG_047957.1,"Streptococcus pyogenes 02C1064 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",07-12-C7D29,2,22779397
NG_047964.1,"Streptococcus pyogenes mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",07-12-C7D29,1,22779397
NG_047827.1,"Lysinibacillus sphaericus erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",07-12-C7D29,1,22779397
NG_050275.1,"Escherichia coli MDD39 blaTEM gene for class A broad-spectrum beta-lactamase TEM-55, complete CDS",07-12-C7D29,1,22779397
NG_048005.1,"Streptococcus pneumoniae MF4 msr(D) gene for ABC-F type ribosomal protection protein Msr(D), complete CDS",07-12-C7D29,3,22779397
NG_047973.1,"Streptococcus pyogenes MB56Spyo005 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",07-12-C7D29,3,22779397
NG_050285.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-76, complete CDS",07-12-C7D29,1,22779397
NG_048140.1,"uncultured bacterium tet(40) gene for tetracycline efflux MFS transporter Tet(40), complete CDS",07-12-C7D29,1,22779397
NG_047977.1,"Exiguobacterium sp. S3-2 pMC1 mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",07-12-C7D29,4,22779397
NG_048270.1,"Prevotella ruminicola 223 tet(Q) gene for tetracycline resistance ribosomal protection protein Tet(Q), complete CDS",07-12-C7D29,9,22779397
NG_050251.1,"Escherichia coli EV25 blaTEM gene for class A beta-lactamase TEM-219, complete CDS",07-12-C7D29,1,22779397
NG_050262.1,"Escherichia coli B24 pEC_B24 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-33, complete CDS",07-12-C7D29,1,22779397
NG_047972.1,"Streptococcus pneumoniae mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",07-12-C7D29,1,22779397
NG_057581.1,"Escherichia coli E9A52022 blaTEM gene for class A beta-lactamase TEM-233, complete CDS",07-12-C7D29,1,22779397
NG_048180.1,"uncultured bacterium tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",07-12-C7D29,1,22779397
NG_048138.1,"uncultured bacterium tet(40) gene for tetracycline efflux MFS transporter Tet(40), complete CDS",07-12-C7D29,1,22779397
NG_050304.1,"Escherichia coli Co52 blaTEM gene for class A broad-spectrum beta-lactamase TEM-95, complete CDS",07-12-C7D29,1,22779397
NG_047963.1,"Streptococcus pyogenes mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",07-12-C7D29,1,22779397
NG_047828.1,"Bacteroides thetaiotaomicron 7853 erm(G) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G), complete CDS",07-12-C7D29,1,22779397
NG_050201.1,"Enterobacter cloacae pEC005 blaTEM gene for class A extended-spectrum beta-lactamase TEM-157, complete CDS",07-12-C7D29,1,22779397
NG_050229.1,"Acinetobacter baumannii 197 blaTEM gene for class A beta-lactamase TEM-193, complete CDS",07-12-C7D29,1,22779397
NG_047378.1,"Pediococcus acidilactici NCIMB 6990 pEOC01 aadE gene for aminoglycoside 6-adenylyltransferase AadE, complete CDS",08-17-B1D29,3,30382378
NG_048017.1,"Bacteroides fragilis HMW 615 nimJ gene for nitroimidazole resistance protein NimJ, complete CDS",08-17-B1D29,1,30382378
NG_050206.1,"Acinetobacter haemolyticus pUPI191 blaTEM gene for class A beta-lactamase TEM-162, complete CDS",08-17-B1D29,1,30382378
NG_048258.1,"Megasphaera elsdenii Fern tet(O) gene for tetracycline resistance ribosomal protection protein Tet(O), complete CDS",08-17-B1D29,1,30382378
NG_048140.1,"uncultured bacterium tet(40) gene for tetracycline efflux MFS transporter Tet(40), complete CDS",08-17-B1D29,3,30382378
NG_050223.1,"Escherichia coli RS60 unnamed blaTEM gene for class A broad-spectrum beta-lactamase TEM-186, complete CDS",08-17-B1D29,1,30382378
NG_047967.1,"Streptococcus mitis mef(A) gene for macrolide efflux MFS transporter Mef(A), complete CDS",08-17-B1D29,1,30382378
